tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,adult,video,status,poster_path,backdrop_path,homepage,genres,genre_ids,production_companies,production_countries,spoken_languages,cast,directors,writers
10802,tt0114436,Showgirls,Showgirls,"Fresh to Las Vegas with no connections, Nomi Malone takes a job as an exotic dancer. Her talents are quickly noticed by Cristal, a headlining dancer who senses an opportunity to bolster her own act. But Nomi won’t play second fiddle and soon begins her venomous path to the top, ruthlessly backstabbing anyone who gets in her way.",Leave your inhibitions at the door... the show is about to begin.,1995-09-22,131,45000000,20367472,6.0643,5.569,1284,False,False,Released,/atjtGFIIt9QMGf9ELyboq5cl466.jpg,/jL3G2f8uNCFejJRlIqCzRp8Y7eV.jpg,,DRAMA,18,Chargeurs|Charles Evans Productions|Carolco Pictures|Joe Eszterhas Productions|Ben Myron Productions,United States of America|France,English,,,
696374,tt11316854,Gabriel's Inferno,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",,2020-05-29,122,0,0,2.4307,8.408,2425,False,False,Released,/yXRoyYzIo17HfANn07oXYdyBy4h.jpg,/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,https://watch.passionflix.com/watch/fc15dc25-cf48-4d4f-aa8e-9afb032233cc,ROMANCE|DRAMA,10749|18,PassionFlix,United States of America,English,,,
567,tt0047396,Rear Window,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,It only takes one witness to spoil the perfect crime.,1954-08-01,112,1000000,37042336,5.4666,8.4,6740,False,False,Released,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,/zZvtZZXRnZ4Tdcs0QEWaZZcIWy8.jpg,,THRILLER|MYSTERY,53|9648,Paramount Pictures|Patron Inc.,United States of America,English,,,
1151031,tt32246771,Bring Her Back,Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",Family requires sacrifices.,2025-05-28,104,15000000,22626466,9.21,7.073,48,False,False,Released,/1zcH6vJs0TnCVXK7TGdTkEzR5J8.jpg,/dfNg7LagiVdnuT2tVDcaH66tgWK.jpg,https://a24films.com/films/bring-her-back,HORROR,27,Causeway Films|Blue Bear|Salmira Productions|A24,Australia|United States of America,English,,,
27205,tt1375666,Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,2010-07-15,148,160000000,839030630,29.8189,8.368,37606,False,False,Released,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,https://www.warnerbros.com/movies/inception,ACTION|SCIENCE_FICTION|ADVENTURE,28|878|12,Legendary Pictures|Syncopy|Warner Bros. Pictures,United Kingdom|United States of America,English|Français|日本語|Kiswahili,,,
911430,tt16311594,F1 The Movie,F1 The Movie,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,,2025-06-23,156,200000000,144000000,233.6806,7.676,247,False,False,Released,/6H6p82aWQFEKEuVUiZll6JxV8Ft.jpg,/lSbblLngbeZIn6G4WXDcyQ6SLhw.jpg,https://www.f1themovie.com,ACTION|DRAMA,28|18,Plan B Entertainment|Jerry Bruckheimer Films|Dawn Apollo Films|Apple Studios|Monolith Pictures,United States of America,Dansk|English|Español|Deutsch,,,
73,tt0120586,American History X,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",Some Legacies Must End.,1998-07-01,119,20000000,23900000,6.0449,8.336,11915,False,False,Released,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,/9LSsSPbP715XT9B7acIZzantPyX.jpg,,DRAMA,18,New Line Cinema|Savoy Pictures|The Turman-Morrissey Company,United States of America,English,,,
552524,tt11655566,Lilo & Stitch,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,Hold on to your coconuts.,2025-05-17,108,100000000,946000000,400.0713,7.086,744,False,False,Released,/7c5VBuCbjZOk7lSfj9sMpmDIaKX.jpg,/7Zx3wDG5bBtcfk8lcnCWDOLM4Y4.jpg,https://movies.disney.com/lilo-and-stitch-2025,FAMILY|SCIENCE_FICTION|COMEDY|ADVENTURE,10751|878|35|12,Walt Disney Pictures|Rideback,United States of America,English,,,
598,tt0317248,City of God,Cidade de Deus,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.","If you run, the beast catches you; if you stay, the beast eats you.",2002-08-30,129,3300000,30641770,8.7457,8.43,7696,False,False,Released,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,http://cidadededeus.globo.com/,DRAMA|CRIME,18|80,O2 Filmes|VideoFilmes|Wild Bunch|Hank Levine Film & Music|Globo Filmes|Lumière,Brazil|France|Germany,Português,,,
1097311,tt27052633,Echo Valley,Echo Valley,"Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child.",A mother and daughter are bound by a dark secret.,2025-06-13,105,0,0,36.3654,6.525,160,False,False,Released,/3Ey3HuqZdrx1rfxRkfiOXDFtvtl.jpg,/aQ5nvQGT6mM6TliOM5iSgrKVF4C.jpg,https://tv.apple.com/movie/umc.cmc.1al6pi2y17htw3z98tbacgo55,THRILLER|DRAMA,53|18,Black Bicycle Entertainment|Apple Studios|Scott Free Productions,United States of America,English,,,
